database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
saheart,0.6039717741935484,0.6183467741935484,0.6263172043010752,0.626263440860215,0.6090255376344086,0.6374126344086022
seeds,0.9690476190476189,0.961111111111111,0.9634920634920634,0.9658730158730158,0.9634920634920633,0.9642857142857141
segment,0.99650384041691,0.9965466281820647,0.9964816657356981,0.996623564015049,0.9968470692284734,0.9965602872380626
seismic-bumps,0.5116024222521215,0.5063416186405292,0.518519547663378,0.5183120787837099,0.5261025503442348,0.5124305831519537
sensor-readings,0.9977505195156304,0.997724051962743,0.9978959376827555,0.9978198139596799,0.998075080803208,0.9977221677198231
shuttle,0.9849526387434884,0.9848152549459737,0.9968536839169374,0.9969985619067672,0.9873389355742296,0.9848179271708682
sonar,0.8432323232323231,0.8480555555555556,0.8518686868686869,0.8527777777777776,0.8372222222222222,0.8392424242424241
spambase,0.9508687526036373,0.9487644222127537,0.9525696676948481,0.9513985574224589,0.9540192170343202,0.9505489395420883
spectfheart,0.6042857142857143,0.5936796536796535,0.6410606060606059,0.6537878787878788,0.6282034632034631,0.614047619047619
spectrometer,0.7404519215052681,0.7364978275919352,0.721590420449116,0.7297383368443151,0.7534893005545179,0.7353146506271505
splice,0.9784348354716735,0.9795692318369902,0.980792012615632,0.9796151506219107,0.9803854342785406,0.980453572825272
tae,0.7674999999999998,0.7763888888888889,0.7822222222222222,0.7699999999999999,0.7711111111111112,0.79
texture,0.9977772856279004,0.997743935846982,0.9983433673469391,0.9982674625581456,0.9980599682232661,0.9980085168883802
thoraric-surgery,0.500892857142857,0.500892857142857,0.499642857142857,0.5117857142857142,0.5033928571428571,0.49624999999999997
thyroid,0.9950332409349313,0.9975308504971695,0.9990485205015556,0.9970305018843494,0.9979561620014314,0.998006853834889
tic-tac-toe,0.9834670231729057,0.9849376114081998,0.9849821746880572,0.9849821746880572,0.9849821746880572,0.9819518716577541
titanic,0.7077778023028342,0.7103121803009154,0.7077778023028342,0.7077778023028342,0.7077778023028342,0.7097274878374253
transfusion,0.5902875043749338,0.5945013868976399,0.5757971536476773,0.5935466382484914,0.5872633553213729,0.5902251157831334
twonorm,0.9710795550004017,0.9693242473293093,0.9658103715443799,0.9674363739849243,0.9658107357900271,0.969188759793914
urban_land,0.9773089873089873,0.9784677976344641,0.9798040770957437,0.977044807044807,0.9793917540792542,0.9791760554260553
vehicle,0.9011984296949468,0.910128679728138,0.9061211777988094,0.9071602196321622,0.9063097050509977,0.9086271219320754
voice_rehabilitation,0.7690277777777776,0.7859722222222223,0.7770833333333332,0.7395833333333333,0.7465277777777777,0.7465277777777777
vowel,0.9975252525252527,0.9972582972582973,0.9981313131313133,0.9980555555555556,0.9974621212121212,0.9976984126984126
vsa,0.8643574458790566,0.8621305387478037,0.8620551838336438,0.8594909688013136,0.8575734244717473,0.8588086557511787
waveform-1,0.9210569360510453,0.9193685170894353,0.9193826353412489,0.9179032097846795,0.9189585980626145,0.9177771871950939
waveform-2,0.9174086741092152,0.9173501960692164,0.9193002149845461,0.918104012858335,0.916527119554804,0.9171439803631497
wdbc,0.9554725829725829,0.9544119769119769,0.9594624819624817,0.9557611832611832,0.9591738816738816,0.9571500721500721
wholesale,0.9001231527093594,0.9043513957307061,0.9017898193760263,0.9036371100164204,0.9038177339901479,0.9038752052545158
wine,0.9955357142857142,0.990376984126984,0.9928571428571429,0.9955357142857142,0.9904761904761903,0.9904761904761903
wisconsin,0.9687203557312254,0.9708942687747036,0.9708942687747036,0.9751515151515152,0.9707784365393062,0.9739498243302591
yeast,0.9199394862186978,0.9181303412827984,0.917247355614862,0.9148807409630217,0.9191789312961369,0.9179216753146576
zoo,0.9833333333333334,0.9857142857142858,0.9904761904761905,0.9928571428571429,0.9809523809523808,0.9857142857142858
