database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
legalh,61.48076970866721,61.90044091711464,62.75696132464763,62.0141126149198,62.065387808734656,62.162478802907174
letter,96.72113667728516,96.75110616301345,96.8207153394501,96.73534472898851,96.62529747434253,96.49550373815575
liver-disorders,73.2436974789916,72.39495798319328,71.80672268907566,71.83193277310926,72.41176470588235,73.25210084033615
lsd,61.478617492876495,60.566948034435256,60.04538652120616,61.10754846329691,60.310615487784126,60.9448131819542
lymphography,84.0674603174603,84.06746031746033,86.62301587301589,85.28968253968254,85.44841269841268,85.44841269841268
magic,88.28607421255118,87.99692146485364,88.11774454201088,88.10730393431791,88.24399386992877,88.11252837801632
mammographic,80.71787004546164,81.20266760833043,80.47253206307501,80.84265613386113,80.235873603041,80.47977604206538
marketing,34.23920124628812,35.11094799104693,34.51298831597319,34.61654517716245,34.598657051096495,35.00828802376937
meth,75.97277047933045,75.92016944377517,75.91783520945259,75.76370281672031,75.97449269897453,76.07716179449369
mfeat,98.45,98.45,98.5,98.15,98.45,98.55
ml-prove,64.8541144043789,65.01733630471674,64.54098991025982,64.24894066021493,64.62604789694862,64.64109914030954
movement_libras,83.78928156628504,83.56705934406281,86.16470327968587,84.9039323046292,83.5307781649245,83.43780764338257
mushrooms,55.333366312276965,56.18284311354421,55.16899801422802,54.49043503757035,54.910945108862165,55.4938388958362
musk1,91.82527752081405,90.97845359235274,90.752197039778,90.75200431699042,89.93678692568609,91.39974560592043
musk2,98.33287252586423,98.27217463768281,98.72683512017969,98.66618321535229,98.46928242384729,98.49942444284486
newthyroid,95.36796536796535,95.38961038961038,95.80086580086581,95.80086580086581,96.2987012987013,95.36796536796537
nicotin,40.212117018494574,40.58299310573785,39.05081254394464,40.278293435702594,39.9919180661963,39.52285200560136
optdigits,98.3644508714353,98.18692447618858,98.22291400089584,98.32945948598983,98.22266439472942,98.13445725126618
ozone,94.27780025520524,94.39606610438518,94.04173539572375,94.2384301764651,94.31763717282375,94.35731847748279
page-blocks,97.47950481974394,97.47900414900577,97.5703129538911,97.497086959652,97.55243030603906,97.5155364007974
parkinsons,91.2514619883041,90.69590643274854,90.7514619883041,90.19590643274854,89.2514619883041,90.19590643274854
penbased,99.19059107354161,99.15430143512712,99.19096255456837,99.28175777331859,99.12704490657933,99.16354862852145
phishing,96.9336395283739,96.86138049902658,96.89750592248244,96.94270568182398,96.90657207593253,96.9426401926928
phoneme,91.30220388908003,91.54325384441572,91.58015408781185,91.59832979663977,91.57974269078046,91.74644409566511
pima,76.7002734107997,76.95830485304165,77.21975393028023,76.5704032809296,76.6985645933014,77.47949419002049
ring,94.87858991608724,94.77017143586477,95.35127139542782,95.29732691060232,95.17596075309203,95.06765159532057
saheart,68.83441258094358,68.3950046253469,68.1868640148011,67.31729879740979,67.31267345050877,68.1868640148011
seeds,93.80952380952378,94.76190476190474,93.33333333333333,94.28571428571428,94.28571428571428,93.33333333333334
segment,97.9649509426296,97.92090474137815,98.09481458187346,98.00861257427405,98.0522806965448,98.1821573170412
seismic-bumps,93.18951842207657,93.2665888479842,93.26703780192155,93.38286791775165,93.22827811199905,93.22797880937415
sensor-readings,99.54202089198645,99.57861744595047,99.56023496877694,99.68867632415758,99.65181067675067,99.61518051724848
shuttle,99.9879322214936,99.98275951028143,99.99482818012225,99.98965487407216,99.98448424294786,99.98793251901517
sonar,84.65584415584415,82.20779220779221,83.7034632034632,82.2034632034632,82.23160173160173,85.17965367965368
