database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
knowledge,95.02289377289378,94.52289377289378,95.52838827838828,95.54029304029304,95.27289377289377,95.0467032967033
kr-vs-k,74.44186322389777,74.47484917941911,74.98331810403441,74.92066343455375,73.93352288366742,73.93144542512233
leaf,79.78561962231318,77.47584792746085,75.80763143666368,75.73975024378251,77.04516704919932,76.74134773529937
led7digit,58.73757451574287,59.229610312762354,57.90424589225132,57.83378877119091,59.43123288688165,59.75466956444314
legalh,62.21565795881558,62.17546291034629,62.38707335459829,61.901321783675634,62.01027424866525,62.48190597435846
letter,96.66444329906999,96.65117284350272,96.84263575361705,96.83112178007798,96.61827061492659,96.61096906769014
liver-disorders,71.52941176470588,71.25210084033613,72.11764705882354,72.66386554621852,71.5042016806723,71.52941176470588
lsd,60.89814488429382,60.42052872254184,60.30737244534102,60.31448331548005,60.84980291996207,60.4628035277252
lymphography,84.67603174603175,84.81793650793648,86.35658730158731,86.53170634920636,84.72555555555554,84.79444444444447
magic,88.14452238340728,88.16692422928644,88.04324959042067,88.03852270454348,88.10549654717562,88.13158420414621
mammographic,80.84357653610961,80.82492327168892,80.91948619236119,80.86797623780633,80.87107195743418,81.00278208962104
marketing,34.46075340330176,34.63209639849915,34.50891475057135,34.697123966223785,34.43173649720706,34.70042204618353
meth,75.22886085830184,75.60328098173815,76.02712728793742,76.1326718822838,76.13350429415632,75.76143928504501
mfeat,98.3,98.45,98.5,98.15,98.5,98.3
ml-prove,64.69124909217368,65.10015101751016,64.52769487214785,65.00145019831908,64.55959117907064,64.59074295679571
movement_libras,83.98149106797192,84.15248382279742,84.65881533101044,84.5133831093413,83.25561860516565,83.28617333112108
mushrooms,55.59968270355868,54.955962329696376,55.23122882188087,54.535149607193624,54.96240645316063,55.59884126263489
musk1,90.33090502621027,90.98288621646623,91.18216157878507,91.19141227258709,90.11813906876347,90.76568763490593
musk2,98.3934098201383,98.43886436559283,98.5904026479177,98.6814034968358,98.54503993003853,98.51469077724877
newthyroid,95.11601731601735,95.02554112554112,95.77619047619044,95.65324675324672,95.90606060606062,95.89393939393942
nicotin,39.73778591740835,40.27039023030049,39.62081401999704,38.784679851002764,39.57289971572878,39.145587812375766
optdigits,98.20420964368313,98.21671302709746,98.18249571603943,98.20058942816262,98.24214859473257,98.24570413862031
ozone,94.19906009772492,94.23889701534343,94.39637733030408,94.31779278578318,94.35669602564502,94.35716286452336
page-blocks,97.46256618001438,97.44849448912373,97.55390118065311,97.51592526853739,97.54998165491001,97.5508082500619
