database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
faults,9.701871323702705e-05,9.672355659042776e-05,8.894171044115144e-05,8.870219763939953e-05,0.00010066651888342698,0.0001011925693193719
fertility,7.11817902470703e-05,4.709910067288305e-05,9.16207925096264e-05,7.280418209437623e-05,8.32022531512154e-05,5.2968085513120285e-05
flags,0.00033108900179516234,0.00034319576345335216,0.0003538257934216625,0.00035685889216638606,0.0003428217656467449,0.00034802420399013587
flare,0.00257106297566681,0.0025084265219601633,0.002556601084679098,0.002494685586794265,0.0026990259109285334,0.002620979941330636
forest,2.7976488309767887e-06,2.9697308562190646e-06,5.707937954245443e-07,5.383727290886819e-07,1.20360393419922e-06,1.8456792251777739e-06
gas,2.117350851725283e-06,2.098954264660051e-06,2.69204247914523e-06,2.745298569239238e-06,2.174589841412256e-06,2.207202557197865e-06
german,0.0005222340867569742,0.0005208781750742736,0.0005465886053799743,0.00054574695225674,0.0005295626439747059,0.0005332517996019667
gesture,1.2160027296379688e-06,1.299324371899325e-06,1.189491350609304e-06,1.1465656153286694e-06,1.396124024698682e-06,1.4981906096118331e-06
haberman,0.0003901524633484131,0.00016926127219934944,0.0006882494058376715,0.0004669294448143372,0.00036730197721404287,0.0002690198817585371
hayes-roth,3.835442000770879e-08,2.5959504727066086e-06,3.538557447370969e-08,3.1120668011633634e-06,2.895920001104974e-08,4.7425582437286206e-07
heart,0.0005530198919397337,0.0005134945746875648,0.0005196332665409968,0.0005038287338731746,0.0005181726933369934,0.0004892679382931698
heart-c,0.0005340152040423521,0.0005151532001861202,0.000529625446358324,0.000510677745433953,0.0004960791194304098,0.0004944512611736729
heart-h,0.0016118745088861386,0.0015778474070275612,0.0017430632890742502,0.001656737075709426,0.001685885600236579,0.001617846363212816
hepatitis,0.00018951140718907332,0.0002068093816345362,0.00014439379554896122,0.00015925355510285988,0.00016535067552576776,0.00014341904812233212
heroin,0.0008587761739657262,0.0008556290749446995,0.0009006907152664482,0.000886722287244197,0.0009518517071099894,0.000943408990626867
horse-colic,0.0002031678207932754,0.00020678503843087813,0.0001995688314340471,0.0001969607378859694,0.0002026832481324568,0.0001994258855961599
housevotes,0.00010745328177855026,0.00012077421914212462,8.513562549484355e-05,9.518559819244847e-05,9.992315250802366e-05,0.000113189991569143
ionosphere,2.638883686014445e-06,2.2336817115812282e-06,5.236891303107773e-07,5.750519701986475e-07,9.565284305645454e-07,9.082643458923858e-07
iris,0.00028049586394413424,0.0004925544632271756,0.00046013478333217247,0.0004920621012377803,0.0003949603221585382,0.0006411089335219759
ketamine,0.0010355199785661,0.00101627240502314,0.001050022603640756,0.001051158458997687,0.00110682498673447,0.001094459208254667
knowledge,0.000490889157647285,0.0006077481470917345,0.001869006435666272,0.0020152588176891037,0.0013006721361124391,0.0015184822802103268
kr-vs-k,0.009080322235483827,0.00959174094746668,0.003676170749492047,0.0037780632929299103,0.010001121223531381,0.01056921999756444
leaf,1.8511895925631497e-06,1.7728053492101197e-06,1.5281047030194956e-05,1.6264141253069963e-05,3.737891217184049e-06,2.785100255205714e-06
led7digit,1.2547319561378971e-07,8.783907925323774e-08,1.3580363922341453e-07,1.36068757309786e-07,1.3866600683592112e-07,1.1862999888720894e-07
legalh,0.0012028666805976198,0.0011781060617645368,0.001082721359963929,0.001076568106570373,0.001259017276523585,0.0012403312443798932
letter,6.929483799985144e-05,7.59470655558518e-05,0.00011693457259931901,0.0001220082144457086,7.670344241778435e-05,8.30990938687546e-05
