database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
mammographic,0.8065646017340571,0.8119134389433598,0.8040950895389353,0.8081634389433597,0.8018829511384817,0.8049975690786809
marketing,0.7269335170090511,0.7411790234153636,0.7324018190375897,0.7287525695237898,0.7344019546959082,0.7348864742355916
meth,0.81591048847267,0.8099641298786169,0.8454211695093156,0.833415195915196,0.8090498820428398,0.8214211632320284
mfeat,0.9982543859649123,0.9982602339181286,0.9983099415204679,0.9979093567251462,0.9982602339181286,0.9983654970760233
ml-prove,0.8457151918629758,0.8461694434690994,0.8460930035247008,0.8406828626135429,0.8451049274759077,0.8431029293574259
movement_libras,0.9865079365079363,0.9865873015873016,0.9888888888888889,0.9880158730158731,0.9865873015873017,0.9867460317460319
mushrooms,0.7669482330901445,0.7720388518267546,0.7625968859686355,0.7534999282151235,0.7598592792445827,0.7707399093699303
musk1,0.9128256003256002,0.9043365893365893,0.903013838013838,0.9018365893365894,0.8939713064713064,0.9079446479446478
musk2,0.951130956488058,0.947553250520118,0.9606905851875508,0.9587249474473063,0.9547706610657263,0.9537092740921143
newthyroid,0.9650000000000001,0.9650000000000001,0.9630555555555554,0.9630555555555554,0.9686111111111112,0.9619444444444444
nicotin,0.7088381781746241,0.7153799684762165,0.7156829553316022,0.719598239232988,0.7125585673970123,0.7131051540347692
optdigits,0.9981506545064747,0.9979433119238423,0.9979834553209465,0.9981175170420729,0.9979906880966976,0.9978830563883895
ozone,0.5672758660426198,0.5795657820090063,0.5601846434776443,0.5699798115448713,0.5791447275112579,0.5793556979753929
page-blocks,0.963555055037061,0.9650085745820428,0.9625752216863359,0.9627518217508719,0.9636660049899387,0.9646245224115333
parkinsons,0.8555952380952381,0.8520238095238097,0.8322619047619048,0.8353571428571431,0.8222619047619049,0.8420238095238096
penbased,0.9991010444152011,0.9990618543659524,0.9991032352191913,0.9991989598271281,0.9990284029897435,0.999075307451396
phishing,0.9684424943443293,0.967543548454709,0.9681181596739196,0.968419622504641,0.9681162365099756,0.9684817105327571
phoneme,0.8885030303879446,0.8935364779647756,0.8928671363623492,0.8929913684656239,0.8926808836316136,0.8953331242731577
pima,0.7276467236467237,0.7322022792022792,0.7324273504273503,0.730977207977208,0.7275042735042737,0.7362022792022792
ring,0.9490607509096198,0.9479780959706561,0.9535400465701516,0.9529957351674817,0.9518966485753694,0.9508030632089876
saheart,0.6204301075268817,0.6259005376344087,0.6168884408602151,0.611787634408602,0.6146505376344087,0.6227755376344083
seeds,0.9682539682539681,0.9730158730158731,0.9650793650793652,0.96984126984127,0.9706349206349205,0.965079365079365
segment,0.996562289505245,0.9964851791156345,0.9967888982328024,0.9966144143385604,0.9966984197149047,0.9969224289178038
seismic-bumps,0.5151651480522939,0.5128446636018695,0.5237812085843905,0.5189327708038738,0.5208400321138023,0.5126363374127816
sensor-readings,0.9977229400609465,0.997586199283593,0.9975261934542983,0.998029173053388,0.9981411553305014,0.997937495353242
shuttle,0.9934260280992306,0.9885267395398113,0.9971401849179626,0.9969990843891352,0.9909076919207637,0.9899973277751055
sonar,0.844621212121212,0.819040404040404,0.8335353535353536,0.8184090909090911,0.8199747474747475,0.8477020202020201
spambase,0.9501813217584119,0.950422246194538,0.9506554370289539,0.9497964300217603,0.9536557567659119,0.9524107215612375
spectfheart,0.6340259740259739,0.6340259740259739,0.6749783549783551,0.6648701298701299,0.662965367965368,0.6122510822510823
