database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
saheart,0.0011072317451344704,0.0011091625464433237,0.0012126403961457673,0.0012180651671027118,0.001128426502734955,0.0011328130445013738
seeds,0.001379051110199216,0.001530608971509566,0.0015917149302124782,0.0016683468867596744,0.0016624308684175908,0.001567863228995214
segment,0.000862672361252009,0.0008710572058015954,0.0009159733130718971,0.0009255063995484937,0.0009045972977617373,0.0009156855270168872
seismic-bumps,0.0033879687026794427,0.0033705326801149378,0.003498030356314582,0.00352590767346875,0.003424282787609445,0.0034432421371305296
sensor-readings,0.00022342252319902892,0.00023474629398872668,0.000290964459136163,0.00029450554743202693,0.00025613485821014833,0.0002661051476420213
shuttle,0.0045149028609837135,0.004572570069244879,0.006762045409898257,0.006802916001047289,0.005021928277974146,0.005128193468576481
sonar,2.6130053610412674e-05,2.7110851143643585e-05,2.8946341565572945e-05,2.9364548872345474e-05,2.8583252169970632e-05,2.9133344272250092e-05
spambase,0.00024520430377546106,0.0002378485758362228,0.00023516615004752023,0.0002282815590369554,0.00024859505193858446,0.00024125865667073173
spectfheart,3.706660742642658e-05,3.9012795929901873e-05,5.164571523080339e-05,5.232374362895945e-05,4.122001510020304e-05,4.3319550096472954e-05
spectrometer,8.166067286447667e-06,8.088288523090154e-06,6.239664476909405e-06,6.608833173872767e-06,8.350160602506205e-06,8.383914078663551e-06
splice,1.47301045673464e-05,1.6251779819268385e-05,1.919253115072894e-05,2.0625748192890374e-05,1.8491416474501837e-05,2.034014562963321e-05
tae,0.02138384342327905,0.021354917829345895,0.020726770722792245,0.020844806849642294,0.021060370553113505,0.021138540001015973
texture,4.086825730357108e-05,4.146526835192788e-05,4.6124208862075293e-05,4.6505479844618795e-05,4.319899627507282e-05,4.3424463616611264e-05
thoraric-surgery,0.004143722951572149,0.004100805381400315,0.004419826610448341,0.0044798459826396585,0.004280572629492037,0.004272459981232856
thyroid,0.0031069888110330673,0.003099599651928685,0.003102203346794153,0.00309572626630713,0.003117973349419347,0.0031160547122554283
tic-tac-toe,0.0003357583090459433,0.00032919598877722867,0.0003367127904181054,0.0003254849111579095,0.00033410834367773396,0.00032418523025163064
titanic,0.03329178210338374,0.028653032332606566,0.03341433137225043,0.02802734242839644,0.033368927542449266,0.02827912650744099
transfusion,0.015748112014107463,0.015914362310212902,0.017251133973378442,0.017329528292182574,0.016668987530165845,0.017166505599158426
twonorm,2.1477248821812892e-06,2.228544687069185e-06,3.3442487717120965e-06,3.3417947866628366e-06,2.6019056007672306e-06,2.688114333382404e-06
urban_land,6.7694177220647816e-06,7.004348957016527e-06,8.830057446849427e-06,9.000544155138687e-06,7.538851316759107e-06,7.785228392018652e-06
vehicle,0.0001573634732589225,0.00015765037246909215,0.00017760510645321,0.0001799177876357129,0.0001618861777739151,0.0001625340310628098
voice_rehabilitation,5.750638717184377e-06,5.767858590788147e-06,5.8265893599570256e-06,5.763059703146983e-06,5.5073177899638945e-06,5.7066920764853545e-06
vowel,0.0011921923630609501,0.0011948343237404612,0.0012959109826030178,0.00130092661156768,0.0011952453412569326,0.0012047836982920057
vsa,0.0014385658042513092,0.001450403764170725,0.0013752507679645038,0.0013774063342645141,0.001589601424094748,0.0015819479554011779
waveform-1,5.3372686849882014e-05,5.404567988557577e-05,8.364106044452897e-05,8.377803912302528e-05,6.480031390001098e-05,6.856857627590725e-05
waveform-2,4.782110243106564e-05,4.926955890886097e-05,7.248392211090635e-05,7.446731085785202e-05,5.8761972348702174e-05,6.015507930961471e-05
wdbc,0.00023027516546953686,0.00023683923102423555,0.000249873915486196,0.0002559892288857177,0.00023726157491168348,0.00024227337934816049
wholesale,0.0025737571132731763,0.0025915117415799055,0.00342946125374088,0.0034658348447744744,0.002896589651392909,0.003177656538105144
wine,0.0014820533134706007,0.0015221011614945004,0.0019589255512552158,0.001974520120119405,0.001662333443392081,0.0016965682513841076
wisconsin,0.0012204304988045695,0.0012471988974931266,0.0013160374896610532,0.0013515042342114635,0.0012613366016732538,0.0013004472918229082
yeast,0.006278775633451127,0.006255078323205582,0.006246598641307668,0.006233229524259532,0.006405867055047035,0.006375486764295673
zoo,0.0011177296192432023,0.0011846092020842665,0.0012602259955248358,0.0013626469927220536,0.0010975538131531791,0.0011888519654404946
