database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
sonar,0.8482530303030303,0.8427888888888886,0.8415878787878792,0.8409287878787876,0.8469777777777777,0.8492757575757576
spambase,0.9506896514725743,0.9493214184493743,0.9529007514979039,0.9522327270019103,0.9520575094156258,0.9510793010073876
spectfheart,0.6312471861471861,0.6248939393939393,0.658690476190476,0.6533571428571427,0.6421796536796538,0.6360034632034632
spectrometer,0.7761855968105967,0.7696195320380103,0.7204905858030861,0.7270267006544182,0.7475135397010397,0.7550118256711505
splice,0.9805144935593284,0.9806031054922112,0.9803934814156157,0.9804799105082997,0.980452736542992,0.9805809886911606
tae,0.778988888888889,0.7861999999999999,0.7770277777777774,0.7808833333333335,0.7792111111111111,0.7840944444444442
texture,0.9979061944482107,0.9978884544392369,0.9982874371500126,0.9983122518316887,0.9980153322314881,0.9979981651512007
thoraric-surgery,0.499642857142857,0.5033928571428571,0.5105357142857142,0.5080357142857141,0.500892857142857,0.5033928571428571
thyroid,0.9959604380458187,0.9955670191424741,0.9959326744544909,0.995594103458729,0.9961875585696055,0.9958933200440707
tic-tac-toe,0.983605080350811,0.9854734728691085,0.9840457913370628,0.985682152235283,0.9844084529217357,0.9853211499653625
titanic,0.7077740848307161,0.7077740848307159,0.7077816450830029,0.7077742101387651,0.7077778023028349,0.7077704926666459
transfusion,0.5879037598850251,0.5901968226061698,0.5939004221447813,0.5959830127567838,0.5947543365623542,0.6066692509299277
twonorm,0.9710631320032149,0.9710479809636735,0.9675736666190876,0.9676312846539264,0.9675034189537642,0.9674254999197476
urban_land,0.9801398601398599,0.9782184289475957,0.9806131291547958,0.9827824721574722,0.9812173012173012,0.9802408702408704
vehicle,0.9052531438132445,0.905286819956789,0.9061913882263536,0.9064324020900841,0.9063149847479376,0.9062254658518011
voice_rehabilitation,0.7995833333333332,0.7659722222222222,0.7833333333333332,0.7583333333333332,0.7877777777777777,0.7770833333333332
vowel,0.9972512265512263,0.997280014430014,0.9978246392496388,0.9978190836940836,0.9974759740259738,0.9972968975468973
vsa,0.8620444443194797,0.8624384173970853,0.8595772881660929,0.8619581280788176,0.8574710331831253,0.8626893520025647
waveform-1,0.919050294897302,0.9192423907935549,0.9178851851063836,0.9179141494005091,0.9179187218849026,0.918724950864514
waveform-2,0.918627454631179,0.9206540708308093,0.9214190619284623,0.9189239708491994,0.9203705814375697,0.919699044154657
wdbc,0.9604910533910532,0.9595010822510821,0.9606775613275609,0.9605592352092351,0.9618797979797976,0.9610689033189032
wholesale,0.9055418719211824,0.8983990147783251,0.9126847290640393,0.9005418719211822,0.9019129720853856,0.9024466338259443
wine,0.9909325396825395,0.990988095238095,0.9884920634920635,0.9883003968253974,0.9898837301587302,0.9895067460317464
wisconsin,0.9743856389986826,0.975018390425999,0.971813625384278,0.9729500658761527,0.9737383948177427,0.9736312472551603
yeast,0.9141957894206401,0.9152368285368078,0.9188736121878758,0.9189207367712331,0.9144978393038398,0.916274841567692
zoo,0.9929047619047614,0.9934285714285709,0.9950476190476182,0.9952380952380945,0.9923333333333327,0.992904761904761
